id,note,dev_frame_f1_avg,test_frame_f1_avg,dev_sentence_frame_f1,test_sentence_frame_f1,dev_sentence_frame_accuracy,test_sentence_frame_accuracy,dev_sentence_segment_IoU,test_sentence_segment_IoU,dev_sentence_segment_percentage,test_sentence_segment_percentage,dev_sentence_frame_f1_O,test_sentence_frame_f1_O,dev_sentence_frame_precision_O,test_sentence_frame_precision_O,dev_sentence_frame_recall_O,test_sentence_frame_recall_O,dev_sentence_frame_roc_auc_O,test_sentence_frame_roc_auc_O
E1s-lsf,E1s-lsf,0.51±0.01,0.49±0.01,0.51±0.01,0.49±0.01,0.77±0.03,0.76±0.03,0.88±0.01,0.84±0.01,1.01±0.39,0.90±0.24,0.63±0.01,0.59±0.01,0.70±0.01,0.67±0.00,0.62±0.03,0.60±0.02,0.89±0.01,0.87±0.00
E4s-lsf,E4s-lsf,0.52±0.01,0.51±0.00,0.52±0.01,0.51±0.00,0.81±0.05,0.79±0.03,0.86±0.02,0.85±0.02,0.91±0.54,0.85±0.41,0.63±0.02,0.59±0.02,0.72±0.01,0.66±0.01,0.60±0.02,0.60±0.02,0.88±0.01,0.87±0.01
