id,note,dev_frame_f1_avg,test_frame_f1_avg,dev_sign_frame_f1,test_sign_frame_f1,dev_sentence_frame_f1,test_sentence_frame_f1,dev_sign_frame_accuracy,test_sign_frame_accuracy,dev_sentence_frame_accuracy,test_sentence_frame_accuracy,dev_sign_segment_IoU,test_sign_segment_IoU,dev_sentence_segment_IoU,test_sentence_segment_IoU,dev_sign_segment_percentage,test_sign_segment_percentage,dev_sentence_segment_percentage,test_sentence_segment_percentage
E1s-likeliest,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.63±0.0,0.69±0.0,0.77±0.01,0.82±0.04,1.31±0.03,1.13±0.01,2.2±0.18,1.66±0.12
E1s-b10-o10,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.56±0.05,0.63±0.03,0.66±0.07,0.77±0.05,1.67±0.1,0.92±0.06,2.99±0.38,2.26±0.22
E1s-b10-o20,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.57±0.05,0.64±0.03,0.69±0.06,0.8±0.04,1.67±0.1,0.91±0.06,2.99±0.38,2.26±0.22
E1s-b10-o30,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.58±0.05,0.65±0.03,0.7±0.06,0.81±0.04,1.67±0.1,0.92±0.06,2.99±0.38,2.26±0.22
E1s-b10-o40,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.58±0.05,0.65±0.03,0.71±0.06,0.82±0.04,1.67±0.1,0.92±0.06,2.99±0.38,2.26±0.22
E1s-b10-o50,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.58±0.05,0.65±0.03,0.72±0.05,0.83±0.03,1.67±0.1,0.92±0.06,2.99±0.38,2.26±0.22
E1s-b10-o60,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.58±0.05,0.65±0.03,0.72±0.05,0.83±0.03,1.67±0.09,0.92±0.06,2.99±0.38,2.26±0.22
E1s-b10-o70,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.58±0.05,0.65±0.03,0.72±0.05,0.83±0.03,1.67±0.09,0.92±0.06,2.99±0.38,2.26±0.22
E1s-b10-o80,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.57±0.05,0.65±0.03,0.72±0.05,0.83±0.03,1.68±0.09,0.92±0.06,2.99±0.38,2.26±0.22
E1s-b10-o90,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.56±0.05,0.64±0.03,0.72±0.05,0.83±0.03,1.68±0.09,0.92±0.06,2.99±0.38,2.26±0.22
E1s-b20-o10,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.59±0.01,0.63±0.03,0.71±0.02,0.76±0.04,1.61±0.17,1.06±0.02,2.69±0.35,2.02±0.17
E1s-b20-o20,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.61±0.01,0.65±0.03,0.74±0.01,0.79±0.04,1.61±0.17,1.06±0.02,2.69±0.35,2.02±0.17
E1s-b20-o30,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.62±0.01,0.66±0.03,0.76±0.01,0.81±0.04,1.61±0.17,1.07±0.02,2.69±0.35,2.02±0.17
E1s-b20-o40,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.62±0.01,0.66±0.03,0.77±0.01,0.82±0.04,1.61±0.17,1.07±0.02,2.69±0.35,2.02±0.17
E1s-b20-o50,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.62±0.0,0.66±0.03,0.77±0.01,0.83±0.03,1.61±0.17,1.07±0.02,2.69±0.35,2.02±0.17
E1s-b20-o60,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.62±0.0,0.66±0.03,0.78±0.01,0.83±0.03,1.61±0.17,1.07±0.02,2.69±0.35,2.02±0.17
E1s-b20-o70,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.61±0.0,0.66±0.03,0.78±0.0,0.83±0.03,1.61±0.17,1.07±0.02,2.69±0.35,2.02±0.17
E1s-b20-o80,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.61±0.01,0.65±0.03,0.78±0.0,0.83±0.03,1.61±0.17,1.07±0.02,2.69±0.35,2.02±0.17
E1s-b20-o90,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.59±0.01,0.64±0.03,0.78±0.01,0.83±0.03,1.61±0.17,1.07±0.02,2.69±0.35,2.02±0.17
E1s-b30-o10,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.59±0.01,0.65±0.0,0.7±0.02,0.74±0.05,1.54±0.15,1.13±0.01,2.47±0.31,1.86±0.14
E1s-b30-o20,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.61±0.01,0.67±0.0,0.74±0.02,0.79±0.04,1.54±0.15,1.13±0.01,2.47±0.31,1.86±0.14
E1s-b30-o30,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.62±0.0,0.68±0.0,0.76±0.01,0.81±0.04,1.55±0.15,1.13±0.01,2.47±0.31,1.86±0.14
E1s-b30-o40,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.63±0.01,0.69±0.0,0.77±0.01,0.82±0.04,1.55±0.15,1.13±0.01,2.47±0.31,1.86±0.14
E1s-b30-o50,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.63±0.0,0.69±0.0,0.77±0.01,0.82±0.04,1.55±0.15,1.13±0.01,2.47±0.31,1.86±0.14
E1s-b30-o60,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.62±0.0,0.69±0.01,0.78±0.01,0.83±0.03,1.55±0.15,1.13±0.01,2.47±0.31,1.86±0.14
