id,note,dev_frame_f1_avg,test_frame_f1_avg,dev_sign_frame_f1,test_sign_frame_f1,dev_sentence_frame_f1,test_sentence_frame_f1,dev_sign_frame_accuracy,test_sign_frame_accuracy,dev_sentence_frame_accuracy,test_sentence_frame_accuracy,dev_sign_segment_IoU,test_sign_segment_IoU,dev_sentence_segment_IoU,test_sentence_segment_IoU,dev_sign_segment_percentage,test_sign_segment_percentage,dev_sentence_segment_percentage,test_sentence_segment_percentage
E1s-b30-o70,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.62±0.0,0.68±0.01,0.78±0.0,0.83±0.03,1.55±0.15,1.13±0.01,2.47±0.31,1.86±0.14
E1s-b30-o80,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.61±0.01,0.67±0.01,0.78±0.0,0.83±0.03,1.55±0.15,1.13±0.01,2.47±0.31,1.86±0.14
E1s-b30-o90,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.6±0.01,0.66±0.01,0.78±0.01,0.83±0.03,1.55±0.15,1.13±0.01,2.47±0.31,1.86±0.14
E1s-b40-o10,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.59±0.0,0.64±0.0,0.69±0.03,0.73±0.05,1.4±0.06,1.13±0.01,2.33±0.24,1.74±0.13
E1s-b40-o20,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.62±0.01,0.67±0.0,0.73±0.02,0.78±0.04,1.41±0.06,1.14±0.01,2.33±0.24,1.74±0.13
E1s-b40-o30,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.63±0.0,0.69±0.0,0.75±0.01,0.8±0.04,1.41±0.06,1.14±0.01,2.33±0.24,1.74±0.13
E1s-b40-o40,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.63±0.0,0.69±0.0,0.77±0.01,0.81±0.04,1.41±0.06,1.14±0.01,2.33±0.24,1.74±0.13
E1s-b40-o50,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.63±0.0,0.69±0.0,0.77±0.01,0.82±0.04,1.41±0.06,1.14±0.01,2.33±0.24,1.74±0.13
E1s-b40-o60,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.63±0.0,0.69±0.01,0.78±0.0,0.83±0.03,1.41±0.06,1.14±0.01,2.33±0.24,1.74±0.13
E1s-b40-o70,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.62±0.0,0.68±0.01,0.78±0.0,0.83±0.03,1.41±0.06,1.14±0.01,2.33±0.24,1.74±0.13
E1s-b40-o80,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.61±0.0,0.68±0.01,0.78±0.0,0.83±0.03,1.41±0.06,1.14±0.01,2.33±0.24,1.74±0.13
E1s-b40-o90,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.6±0.01,0.66±0.01,0.78±0.01,0.83±0.03,1.41±0.06,1.14±0.01,2.33±0.24,1.74±0.13
E1s-b50-o10,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.58±0.01,0.62±0.0,0.68±0.03,0.71±0.05,1.27±0.01,1.1±0.01,2.17±0.18,1.63±0.1
E1s-b50-o20,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.62±0.01,0.67±0.0,0.73±0.02,0.77±0.04,1.27±0.01,1.1±0.01,2.17±0.18,1.63±0.1
E1s-b50-o30,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.63±0.01,0.69±0.0,0.75±0.01,0.8±0.04,1.27±0.01,1.11±0.01,2.17±0.18,1.63±0.1
E1s-b50-o40,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.63±0.0,0.69±0.0,0.76±0.01,0.81±0.04,1.27±0.01,1.11±0.01,2.17±0.18,1.63±0.1
E1s-b50-o50,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.63±0.0,0.69±0.0,0.77±0.01,0.82±0.04,1.27±0.01,1.11±0.01,2.17±0.18,1.63±0.1
E1s-b50-o60,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.63±0.0,0.69±0.0,0.78±0.01,0.83±0.03,1.27±0.01,1.11±0.01,2.17±0.18,1.63±0.1
E1s-b50-o70,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.62±0.0,0.68±0.0,0.78±0.0,0.83±0.03,1.27±0.01,1.11±0.01,2.17±0.18,1.63±0.1
E1s-b50-o80,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.61±0.01,0.68±0.01,0.78±0.0,0.83±0.03,1.27±0.01,1.11±0.01,2.17±0.18,1.63±0.1
E1s-b50-o90,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.6±0.01,0.66±0.01,0.78±0.01,0.83±0.03,1.27±0.01,1.11±0.01,2.17±0.18,1.63±0.1
E1s-b60-o10,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.56±0.01,0.59±0.0,0.66±0.03,0.69±0.05,1.18±0.04,1.03±0.01,1.95±0.12,1.52±0.1
E1s-b60-o20,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.61±0.01,0.65±0.01,0.72±0.02,0.76±0.04,1.18±0.04,1.03±0.01,1.95±0.12,1.52±0.1
E1s-b60-o30,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.63±0.01,0.68±0.0,0.74±0.01,0.79±0.04,1.18±0.04,1.03±0.01,1.95±0.12,1.52±0.1
E1s-b60-o40,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.63±0.01,0.69±0.0,0.76±0.01,0.81±0.04,1.18±0.04,1.03±0.01,1.95±0.12,1.52±0.1
E1s-b60-o50,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.63±0.0,0.69±0.0,0.77±0.01,0.81±0.04,1.18±0.04,1.03±0.01,1.95±0.12,1.52±0.1
E1s-b60-o60,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.63±0.0,0.69±0.0,0.77±0.01,0.82±0.03,1.18±0.04,1.03±0.01,1.95±0.12,1.52±0.1
E1s-b60-o70,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.62±0.0,0.68±0.0,0.78±0.01,0.83±0.03,1.18±0.04,1.03±0.01,1.95±0.12,1.52±0.1
E1s-b60-o80,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.61±0.01,0.68±0.01,0.78±0.0,0.83±0.03,1.18±0.04,1.03±0.01,1.95±0.12,1.52±0.1
E1s-b60-o90,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.6±0.01,0.66±0.01,0.78±0.01,0.83±0.03,1.18±0.04,1.03±0.01,1.95±0.12,1.52±0.1
E1s-b70-o10,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.52±0.01,0.54±0.0,0.64±0.04,0.69±0.03,1.01±0.08,0.9±0.0,1.73±0.1,1.41±0.08
E1s-b70-o20,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.58±0.01,0.61±0.01,0.71±0.02,0.76±0.01,1.01±0.08,0.9±0.01,1.73±0.1,1.41±0.08
E1s-b70-o30,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.6±0.01,0.65±0.01,0.73±0.02,0.8±0.01,1.01±0.08,0.9±0.0,1.73±0.1,1.41±0.08
E1s-b70-o40,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.62±0.01,0.67±0.0,0.75±0.01,0.82±0.01,1.01±0.08,0.9±0.0,1.73±0.1,1.41±0.08
E1s-b70-o50,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.62±0.01,0.68±0.0,0.76±0.01,0.83±0.01,1.01±0.08,0.9±0.0,1.73±0.1,1.41±0.08
E1s-b70-o60,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.62±0.01,0.68±0.0,0.77±0.01,0.84±0.01,1.01±0.08,0.9±0.0,1.73±0.1,1.41±0.08
E1s-b70-o70,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.62±0.0,0.68±0.0,0.78±0.01,0.85±0.01,1.01±0.08,0.9±0.0,1.73±0.1,1.41±0.08
E1s-b70-o80,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.61±0.01,0.67±0.0,0.78±0.01,0.85±0.0,1.01±0.08,0.9±0.0,1.73±0.1,1.41±0.08
E1s-b70-o90,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.59±0.01,0.66±0.01,0.78±0.0,0.85±0.0,1.01±0.08,0.9±0.0,1.73±0.1,1.41±0.08
E1s-b80-o10,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.43±0.01,0.44±0.01,0.61±0.03,0.65±0.03,0.85±0.11,0.67±0.02,1.5±0.08,1.26±0.07
E1s-b80-o20,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.48±0.01,0.5±0.0,0.68±0.02,0.74±0.02,0.85±0.11,0.67±0.02,1.5±0.08,1.26±0.07
E1s-b80-o30,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.51±0.01,0.54±0.01,0.72±0.02,0.78±0.02,0.85±0.11,0.67±0.02,1.5±0.08,1.26±0.07
E1s-b80-o40,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.54±0.01,0.58±0.01,0.74±0.01,0.8±0.02,0.85±0.11,0.67±0.02,1.5±0.08,1.26±0.07
E1s-b80-o50,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.55±0.01,0.6±0.0,0.75±0.01,0.82±0.01,0.85±0.11,0.67±0.02,1.5±0.08,1.26±0.07
E1s-b80-o60,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.57±0.0,0.62±0.01,0.76±0.01,0.83±0.01,0.85±0.11,0.67±0.02,1.5±0.08,1.26±0.07
E1s-b80-o70,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.57±0.01,0.64±0.01,0.77±0.01,0.84±0.01,0.85±0.11,0.67±0.02,1.5±0.08,1.26±0.07
E1s-b80-o80,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.58±0.01,0.64±0.0,0.77±0.01,0.85±0.0,0.85±0.11,0.67±0.02,1.5±0.08,1.26±0.07
E1s-b80-o90,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.58±0.01,0.65±0.01,0.78±0.0,0.85±0.0,0.85±0.11,0.67±0.02,1.5±0.08,1.26±0.07
E1s-b90-o10,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.25±0.01,0.26±0.02,0.56±0.05,0.57±0.02,0.59±0.06,0.32±0.03,1.21±0.08,1.02±0.04
E1s-b90-o20,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.27±0.01,0.28±0.02,0.65±0.04,0.67±0.02,0.59±0.06,0.32±0.03,1.21±0.08,1.02±0.04
E1s-b90-o30,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.28±0.01,0.3±0.02,0.69±0.04,0.72±0.01,0.59±0.06,0.32±0.03,1.21±0.08,1.02±0.04
E1s-b90-o40,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.29±0.01,0.32±0.02,0.73±0.04,0.77±0.02,0.59±0.06,0.32±0.03,1.21±0.08,1.02±0.04
E1s-b90-o50,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.31±0.01,0.34±0.02,0.75±0.04,0.79±0.01,0.59±0.06,0.32±0.03,1.21±0.08,1.02±0.04
E1s-b90-o60,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.33±0.01,0.37±0.02,0.77±0.04,0.81±0.01,0.59±0.06,0.32±0.03,1.21±0.08,1.02±0.04
E1s-b90-o70,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.36±0.01,0.41±0.02,0.78±0.04,0.82±0.01,0.59±0.06,0.32±0.03,1.21±0.08,1.02±0.04
E1s-b90-o80,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.4±0.01,0.45±0.02,0.79±0.04,0.84±0.01,0.59±0.06,0.32±0.03,1.21±0.08,1.02±0.04
E1s-b90-o90,tune decoding,0.62±0.0,0.64±0.01,0.61±0.0,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.0,0.75±0.01,0.9±0.0,0.88±0.0,0.46±0.01,0.52±0.03,0.8±0.05,0.85±0.0,0.59±0.06,0.32±0.03,1.21±0.08,1.02±0.04
